num_acc,mois,jour,lum,agg,int,col,com,dep,hr,mn,catv,choc,manv,place,catu,grav,trajet,an_nais,catr,circ,nbv,prof,plan,lartpc,larrout,situ
200500069734,4,7,2,1,1,1.0,169,220,11,41,21,7.0,11.0,10,2,3,5.0,1992,3,2.0,4,4.0,2.0,116,380,0.0
201800003370,3,1,3,1,8,2.0,528,43,10,30,10,2.0,12.0,7,1,3,9.0,1951,2,2.0,14,3.0,2.0,19,272,3.0
200500036427,11,23,5,2,8,1.0,49055,7,19,8,9,1.0,20.0,6,2,2,4.0,1968,3,2.0,4,1.0,4.0,164,184,6.0
200600040417,9,1,5,2,2,6.0,13208,89,12,36,38,8.0,2.0,8,2,3,9.0,1959,2,2.0,3,3.0,0.0,510,198,2.0
200700029278,2,8,5,1,4,2.0,14119,270,14,57,18,9.0,4.0,10,3,2,4.0,1930,5,2.0,40,1.0,0.0,57,221,0.0
200600027700,9,16,5,2,8,7.0,50173,12,0,41,43,5.0,10.0,0,1,3,2.0,1992,4,4.0,7,0.0,1.0,247,22,5.0
201400055026,2,13,5,2,1,1.0,83107,290,15,43,18,6.0,22.0,3,2,2,0.0,2011,1,3.0,3,1.0,3.0,27,325,2.0
201300014902,10,4,5,2,9,1.0,276,3,0,57,60,7.0,10.0,8,1,2,5.0,1908,2,1.0,16,0.0,3.0,32,70,0.0
200500002404,9,13,4,1,4,6.0,66204,19,16,10,17,5.0,15.0,5,2,2,2.0,1993,9,2.0,8,0.0,4.0,106,194,2.0
200800051525,8,19,5,2,8,4.0,6113,770,17,5,16,8.0,18.0,6,3,2,4.0,1918,1,0.0,1,4.0,1.0,510,242,5.0
201700022624,8,11,3,1,7,6.0,523,450,23,36,33,6.0,16.0,5,1,1,3.0,1953,1,2.0,13,4.0,1.0,35,100,8.0
200700043325,7,26,3,2,2,7.0,670,170,18,41,31,3.0,23.0,6,2,1,0.0,1970,9,4.0,13,0.0,2.0,21,188,3.0
201200010456,2,11,5,2,3,4.0,285,53,22,35,43,7.0,1.0,5,3,3,4.0,1942,1,2.0,3,1.0,4.0,150,258,5.0
201700035138,9,7,5,1,4,5.0,599,1001,23,21,34,8.0,22.0,5,3,3,9.0,1917,3,2.0,5,2.0,3.0,5,640,2.0
200600021130,4,6,5,1,8,6.0,139,25,12,0,42,9.0,6.0,5,2,3,5.0,1931,7,1.0,9,0.0,1.0,240,68,2.0
200700056235,5,22,5,2,9,3.0,13015,92,17,22,19,6.0,2.0,2,3,2,4.0,1962,6,2.0,6,1.0,1.0,300,215,5.0
200900034623,5,22,5,2,5,6.0,91689,24,11,57,60,0.0,9.0,5,3,1,2.0,1942,4,3.0,5,0.0,1.0,203,105,0.0
200600056303,1,12,5,2,6,3.0,236,12,20,0,9,1.0,2.0,1,1,2,2.0,1977,4,2.0,8,0.0,3.0,41,93,8.0
201100015498,11,6,4,1,8,4.0,10387,180,20,11,19,9.0,1.0,2,1,3,9.0,1915,9,2.0,11,1.0,4.0,134,190,8.0
200500063460,10,18,5,1,7,1.0,82121,720,16,40,12,5.0,0.0,6,3,2,5.0,1919,5,2.0,-1,2.0,4.0,27,138,6.0
201500041692,10,9,5,2,8,3.0,863,380,16,25,11,1.0,10.0,7,2,3,5.0,0,5,4.0,9,1.0,2.0,150,75,2.0
200700066317,3,9,5,2,6,2.0,465,4,21,55,30,1.0,4.0,9,3,3,2.0,1971,1,0.0,5,1.0,4.0,650,251,0.0
201800033202,9,31,5,2,8,4.0,62516,750,10,25,6,0.0,18.0,3,1,3,0.0,1901,2,1.0,7,3.0,2.0,34,605,3.0
201000068233,3,22,5,2,5,1.0,92,43,21,35,36,7.0,19.0,5,3,2,4.0,2004,2,2.0,36,3.0,4.0,650,99,4.0
200800015411,9,21,4,1,6,5.0,374,39,18,22,11,0.0,19.0,9,1,2,5.0,1910,1,2.0,3,3.0,4.0,34,480,1.0
200700024418,8,25,1,1,8,6.0,667,84,21,30,31,6.0,0.0,7,3,2,1.0,1992,6,2.0,9,2.0,3.0,103,83,3.0
201000049470,5,10,5,2,7,3.0,373,25,23,43,4,5.0,2.0,9,1,1,0.0,1937,9,0.0,3,0.0,0.0,42,120,2.0
200900018647,12,30,4,1,2,7.0,7,700,15,25,30,0.0,3.0,8,2,2,0.0,1925,5,1.0,13,2.0,4.0,41,105,6.0
200900049024,7,6,5,2,7,5.0,139,47,14,20,0,9.0,2.0,1,2,1,1.0,1939,2,2.0,10,1.0,2.0,43,62,1.0
201700021632,6,23,5,2,2,1.0,309,140,14,15,31,6.0,9.0,4,3,2,0.0,1962,3,2.0,3,2.0,2.0,83,147,4.0
200500078913,3,4,5,2,3,7.0,89352,27,20,20,13,5.0,10.0,1,1,1,1.0,1988,2,4.0,13,4.0,4.0,43,560,1.0
201400011481,11,20,5,2,4,6.0,30344,72,10,53,4,2.0,25.0,2,3,1,2.0,1983,7,2.0,5,2.0,0.0,46,780,8.0
201000019767,11,7,5,2,4,7.0,681,910,22,38,37,0.0,12.0,0,2,3,4.0,1938,4,2.0,9,3.0,2.0,197,450,8.0
201600005404,4,28,5,2,4,6.0,76561,56,12,40,99,4.0,9.0,10,3,2,1.0,2012,4,2.0,5,4.0,2.0,300,41,8.0
201100051470,9,20,5,1,7,4.0,6128,170,17,57,39,7.0,8.0,3,3,2,9.0,1978,9,1.0,-1,3.0,3.0,40,750,0.0
200800058306,12,4,2,1,8,5.0,33,44,18,55,31,8.0,26.0,5,2,2,2.0,1926,4,2.0,8,1.0,3.0,74,200,3.0
201100038569,3,7,5,1,9,1.0,31555,40,21,53,1,8.0,0.0,10,2,3,5.0,1993,5,2.0,0,0.0,3.0,275,188,6.0
201700031890,7,2,5,2,3,3.0,95680,88,21,50,33,1.0,8.0,5,2,1,0.0,1987,3,2.0,1,1.0,3.0,20,112,5.0
201500009920,9,19,1,1,6,5.0,419,840,14,11,3,2.0,12.0,3,2,1,1.0,1979,5,4.0,13,3.0,4.0,65,211,3.0
201900009591,9,31,5,2,1,2.0,77294,15,23,34,3,1.0,9.0,8,3,3,0.0,1919,2,4.0,6,2.0,3.0,87,124,6.0
201300039381,5,26,5,1,6,6.0,30,540,23,21,30,1.0,2.0,4,3,3,0.0,1942,9,2.0,5,0.0,2.0,3,104,5.0
201400028369,5,28,5,2,6,5.0,50502,640,16,25,3,4.0,26.0,5,1,1,4.0,1989,7,2.0,10,4.0,0.0,56,75,4.0
201700025086,5,2,5,2,8,7.0,97303,100,14,25,10,4.0,0.0,4,3,3,5.0,2017,6,2.0,50,4.0,3.0,109,252,5.0
201100014546,6,1,3,1,4,3.0,68155,15,22,45,10,2.0,12.0,10,2,3,1.0,2016,6,0.0,9,4.0,1.0,97,730,2.0
201400023664,6,29,5,2,8,3.0,28220,390,0,57,38,8.0,6.0,8,1,3,9.0,1923,5,2.0,50,0.0,0.0,109,60,0.0
201000024928,12,27,5,1,8,3.0,34242,42,22,10,6,6.0,23.0,3,1,2,2.0,1970,1,2.0,30,2.0,3.0,63,590,2.0
201300049661,2,12,5,2,9,6.0,485,790,10,24,10,5.0,13.0,1,3,2,1.0,1967,3,1.0,40,1.0,3.0,275,415,5.0
201400012262,6,19,5,1,0,5.0,91479,87,10,53,7,8.0,12.0,3,2,2,9.0,1900,6,4.0,14,1.0,0.0,160,365,8.0
201900055404,2,10,5,1,3,5.0,26178,30,22,22,19,9.0,17.0,3,1,3,0.0,1950,9,2.0,1,0.0,0.0,250,950,8.0
201300017415,4,6,4,2,3,2.0,29,29,0,57,16,1.0,3.0,1,1,3,1.0,1961,3,2.0,3,0.0,0.0,46,205,0.0
201600021226,12,23,3,1,4,3.0,9107,5,12,40,11,4.0,10.0,10,3,2,0.0,1997,7,0.0,16,0.0,0.0,18,350,0.0
201000054743,2,30,2,2,5,1.0,28,24,16,33,32,9.0,10.0,6,1,2,3.0,1918,6,2.0,36,3.0,0.0,49,169,3.0
200900057441,5,31,5,1,6,6.0,98817,95,19,55,60,9.0,1.0,3,1,1,9.0,1946,6,0.0,30,3.0,3.0,35,61,0.0
200900073426,10,14,1,2,3,5.0,67218,180,14,38,18,6.0,7.0,6,2,3,4.0,0,4,2.0,36,1.0,0.0,57,40,5.0
200700067970,7,24,3,1,3,2.0,674,48,23,10,99,0.0,26.0,5,1,1,0.0,1973,3,2.0,14,2.0,0.0,36,105,0.0
201200038826,10,20,5,2,4,1.0,69034,590,18,40,0,9.0,18.0,2,1,3,9.0,1997,2,2.0,6,3.0,3.0,43,93,8.0
200500060248,8,5,5,2,7,4.0,85008,74,19,33,5,6.0,13.0,0,3,3,5.0,1991,5,4.0,7,1.0,1.0,207,46,0.0
201100024932,12,12,5,2,8,3.0,2215,480,19,8,19,7.0,13.0,1,2,2,2.0,0,6,2.0,1,1.0,4.0,118,10,6.0
201600047388,10,18,4,1,9,4.0,60338,690,15,30,33,9.0,10.0,4,2,1,2.0,2009,2,2.0,6,0.0,1.0,103,152,3.0
200600006386,7,13,3,1,2,7.0,75115,201,16,8,21,2.0,2.0,6,1,1,4.0,1928,5,4.0,2,1.0,3.0,89,8,6.0
200500004408,10,31,5,2,4,2.0,69388,67,19,45,36,6.0,20.0,7,2,1,0.0,1982,9,2.0,30,3.0,4.0,23,640,8.0
200700019894,8,15,5,2,3,5.0,439,85,18,25,1,5.0,2.0,9,2,2,4.0,2002,2,1.0,50,3.0,4.0,300,720,5.0
200500076686,5,21,5,2,4,7.0,3190,210,17,15,15,5.0,10.0,1,2,2,4.0,1920,4,2.0,1,2.0,1.0,330,860,2.0
200700048302,11,20,5,2,7,7.0,45169,500,21,43,16,4.0,4.0,8,2,3,9.0,1990,1,2.0,9,4.0,1.0,90,47,6.0
200600063303,7,7,1,2,1,7.0,75119,66,20,40,30,0.0,2.0,4,2,1,9.0,1962,4,4.0,40,1.0,4.0,275,192,4.0
201800041250,6,1,5,1,3,2.0,37208,570,0,30,43,0.0,22.0,5,3,3,1.0,1917,2,2.0,2,2.0,2.0,160,116,6.0
200800001626,6,18,5,2,7,3.0,78206,820,19,35,19,6.0,20.0,7,3,3,5.0,1992,4,2.0,-1,1.0,2.0,500,163,4.0
201400031899,6,13,5,2,3,1.0,95582,78,14,45,20,0.0,15.0,7,3,3,2.0,1963,2,4.0,50,2.0,2.0,161,530,5.0
201500010627,3,6,5,2,7,3.0,50402,380,14,24,50,4.0,20.0,8,3,1,0.0,1999,3,2.0,2,4.0,1.0,114,227,2.0
201300000075,3,24,5,2,5,4.0,752,976,0,10,4,1.0,26.0,10,3,3,1.0,1968,7,3.0,26,1.0,2.0,65,28,1.0
200500041274,1,30,5,2,7,6.0,432,540,22,57,37,5.0,15.0,7,2,3,0.0,2011,3,2.0,13,4.0,2.0,182,480,3.0
200900071046,11,16,5,1,4,7.0,9261,202,0,20,21,9.0,13.0,0,1,1,3.0,1918,5,2.0,10,1.0,0.0,107,425,5.0
200800067553,5,7,5,1,5,7.0,425,57,22,43,32,0.0,19.0,1,3,1,5.0,1944,4,4.0,3,1.0,2.0,94,313,3.0
201900053029,8,8,5,2,3,6.0,417,14,11,30,12,7.0,0.0,7,3,3,0.0,1982,7,2.0,40,1.0,0.0,125,52,6.0
201100003149,5,30,5,2,7,5.0,79213,33,16,53,0,5.0,10.0,0,2,1,5.0,1900,7,2.0,8,1.0,1.0,58,655,4.0
200800030284,1,30,5,2,4,5.0,257,81,23,5,60,9.0,4.0,3,1,1,3.0,1918,2,2.0,12,4.0,0.0,97,750,1.0
200700032504,2,21,2,1,9,7.0,38317,26,13,5,14,9.0,12.0,4,3,2,5.0,1969,9,2.0,30,1.0,0.0,510,52,1.0
201700044703,5,27,5,1,9,7.0,465,100,11,11,31,0.0,3.0,1,3,1,3.0,1966,6,2.0,1,0.0,1.0,95,112,4.0
201100027489,1,20,1,1,5,1.0,412,34,17,43,35,0.0,23.0,5,1,2,9.0,1918,5,1.0,50,2.0,2.0,47,179,1.0
201900053027,12,27,5,1,0,3.0,14341,70,17,20,3,5.0,1.0,7,1,3,1.0,1901,4,2.0,4,2.0,0.0,49,790,6.0
200500007844,6,29,5,1,6,4.0,178,89,17,21,16,3.0,4.0,5,3,1,2.0,2003,3,2.0,10,2.0,0.0,143,137,2.0
201000039423,5,29,5,2,4,7.0,583,870,22,0,20,2.0,20.0,4,1,3,5.0,1971,6,2.0,12,0.0,3.0,100,140,3.0
201200014788,4,14,5,2,1,4.0,12202,14,10,40,50,2.0,19.0,4,2,1,2.0,1979,9,3.0,1,3.0,1.0,67,90,6.0
201500001257,11,31,5,2,5,3.0,75105,250,22,17,50,4.0,22.0,8,3,3,3.0,1946,5,2.0,4,3.0,3.0,225,93,1.0
201600052914,9,10,1,1,0,2.0,660,84,0,36,21,9.0,4.0,7,2,3,2.0,2005,9,2.0,2,0.0,4.0,600,61,2.0
201700047531,1,4,5,2,1,7.0,73024,19,10,55,19,9.0,5.0,4,3,2,4.0,2015,6,2.0,0,1.0,0.0,450,570,0.0
201700004303,4,22,5,2,3,3.0,44072,63,12,25,40,0.0,2.0,10,1,3,0.0,1991,4,2.0,13,0.0,3.0,13,83,3.0
200600019894,3,3,5,2,3,3.0,42207,940,16,35,13,1.0,11.0,5,2,3,0.0,1912,4,1.0,16,4.0,3.0,364,350,1.0
201000049157,5,31,3,1,1,4.0,552,78,22,30,9,1.0,7.0,8,1,1,5.0,1981,2,2.0,10,1.0,4.0,900,340,1.0
200800049719,10,7,1,2,3,3.0,402,930,13,8,38,0.0,9.0,0,3,2,1.0,1923,6,2.0,40,3.0,1.0,14,37,3.0
200900032120,2,16,2,1,7,2.0,92064,39,17,38,37,0.0,7.0,7,1,1,5.0,1905,3,2.0,6,1.0,3.0,106,25,2.0
201800044876,7,21,5,1,7,7.0,78126,830,0,21,6,9.0,23.0,1,3,1,9.0,1986,5,2.0,8,3.0,3.0,247,71,5.0
201300032420,6,14,5,1,6,4.0,33039,88,18,55,19,2.0,2.0,9,1,3,0.0,1969,3,0.0,1,4.0,2.0,128,163,0.0
201000004974,3,13,5,2,7,1.0,343,800,16,50,30,3.0,22.0,2,1,2,1.0,1978,5,2.0,11,3.0,1.0,11,61,3.0
200600020226,5,9,5,2,6,6.0,8214,340,18,35,3,9.0,10.0,6,2,3,5.0,1976,3,2.0,11,2.0,3.0,54,173,4.0
201800041880,3,8,5,2,4,1.0,29259,810,15,24,0,8.0,14.0,3,1,3,9.0,1977,9,2.0,12,3.0,4.0,45,50,4.0
201700057515,5,21,3,1,6,6.0,341,480,17,10,50,3.0,9.0,9,2,1,9.0,2002,2,0.0,12,4.0,0.0,3,790,2.0
201400019355,1,15,2,2,8,7.0,893,35,16,10,36,7.0,2.0,0,1,3,5.0,1958,7,1.0,3,0.0,2.0,12,63,8.0
200500067742,9,18,1,2,6,2.0,62528,91,0,30,31,4.0,24.0,9,2,3,4.0,1946,7,2.0,9,0.0,2.0,75,248,6.0
201100004665,3,30,5,2,3,6.0,6088,52,15,24,8,2.0,5.0,5,1,2,4.0,1979,4,1.0,10,3.0,4.0,275,122,1.0
200500039757,1,15,1,1,7,1.0,248,57,20,35,11,8.0,0.0,3,3,1,3.0,1995,6,2.0,13,3.0,1.0,270,46,2.0
201000018956,12,20,5,2,3,2.0,713,92,0,35,43,7.0,21.0,10,1,3,5.0,1950,5,2.0,7,2.0,3.0,66,51,5.0
201500022532,3,21,2,2,2,2.0,72025,82,12,55,80,8.0,9.0,5,1,1,0.0,1931,5,2.0,20,3.0,0.0,192,177,4.0
201100027706,2,17,5,1,6,2.0,165,78,12,0,3,1.0,11.0,1,1,2,0.0,1916,2,0.0,16,2.0,0.0,205,17,6.0
200500053085,5,16,2,1,9,3.0,701,78,0,33,16,4.0,13.0,7,2,2,1.0,1987,5,2.0,10,2.0,4.0,207,46,3.0
201000060966,8,14,2,2,5,6.0,498,65,0,45,60,5.0,20.0,3,1,2,5.0,1976,2,2.0,26,3.0,2.0,71,75,6.0
201000048532,10,15,2,1,6,4.0,45,89,13,8,11,5.0,3.0,6,1,3,1.0,2007,3,2.0,0,1.0,2.0,77,268,8.0
